id,email,customer_id,max_project_limit,created_at,updated_at,zendesk_user_id,organization_id,first_name,last_name
131acb42-4ac3-4fa6-9724-002cbe2173f6,angela.martin@lynch-miller.com,cus_9f63467bc4f44ede,100,2023-09-14 12:47:57.929332+00,2024-01-15 06:15:28.748584+00,1,org_9586845f15534351,Angela,Martin
963199fa-f3f6-46b1-b28c-0a99fcff10ae,melissa.collier@peters-thompson.biz,cus_70f86393ad3b4e86,100,2024-08-22 19:56:22.02688+00,2024-10-22 23:18:09.47907+00,2,org_7ce74bc2b5ff45b2,Melissa,Collier
eda2b9d8-caec-4913-85ac-953fff43a439,tina.jackson@gray-smith.com,cus_400bc41d034e4aa1,100,2024-10-23 05:42:03.634614+00,2024-10-23 09:37:42.889413+00,3,org_4a0615df48b14c59,Tina,Jackson
b7a9546a-3dc2-49ea-a285-f2eceb6ffc4b,peggy.erickson@williams.com,cus_dd7c5b8e1af74606,100,2024-04-26 08:10:33.490083+00,2024-10-11 23:07:43.180158+00,4,org_1be2f8b41adc43a0,Peggy,Erickson
fa87abc9-ef26-42e9-9fbd-1c90a26a2ddb,amanda.young@harrington.com,cus_b7f6887cf4874bc1,100,2023-12-31 16:33:28.235346+00,2024-07-10 12:47:06.871667+00,5,org_ffa40a28dde74176,Amanda,Young
12b689e7-148d-40c5-b477-cc9f9b85d81a,elizabeth.patterson@serrano.org,cus_f9ae766d8c824be3,100,2023-03-17 19:19:51.531706+00,2024-01-06 18:59:17.725504+00,6,org_b597140aa43741c8,Elizabeth,Patterson
74360084-0da5-4b75-b541-8b49a32c357b,margaret.patterson@vega-howard.org,cus_ca733000eb0f414b,100,2023-05-07 10:44:13.350412+00,2023-11-23 17:43:34.62651+00,7,org_dd964077ea09486f,Margaret,Patterson
4d23ecb2-1ea9-43d4-b68a-6c36a73bd94d,herbert.thompson@serrano.org,cus_38b1ebe270c24cfe,100,2022-11-06 13:41:39.062568+00,2024-03-31 17:44:11.840341+00,8,org_019cdaab3b95432f,Herbert,Thompson
88ec5c03-3cd4-4b36-a5bc-2c0419cd0e72,isaac.padilla@casey-wilson.org,cus_40b3b3895a2d4eff,100,2023-09-08 14:58:53.799363+00,2024-01-07 06:00:03.434999+00,9,org_b11d9fafad01409a,Isaac,Padilla
79c391c1-c780-4576-99b9-e586ab615871,kimberly.stevens@williams.com,cus_7a5f1cbc05eb46ef,100,2024-03-17 18:26:25.785017+00,2024-07-27 10:36:19.746771+00,10,org_a7fa0b08ddf24499,Kimberly,Stevens
f1e00001-5c4e-4769-b5cb-c6d03c179440,lance.foster@ellis-smith.org,cus_25294bce668242ed,100,2023-11-05 01:29:26.611962+00,2024-01-07 23:36:23.645616+00,11,org_a11adc61579b474f,Lance,Foster
6f5d4605-2ca5-4ee3-8180-b9148ea199cf,allison.robinson@morales-townsend.org,cus_1a0fa9e9834548e0,100,2022-11-05 11:21:44.364038+00,2024-02-06 04:16:33.789869+00,12,org_1b9af490d168433b,Allison,Robinson
954d7987-df52-4806-b77c-92e8ed047f0b,lisa.bailey@smith.org,cus_bdd74c296ef6421f,100,2023-07-24 13:09:15.51643+00,2024-05-02 04:27:53.072022+00,13,org_3907cb561d274112,Lisa,Bailey
b5af431c-5d58-4c8c-b8bc-04c936729a7a,mary.lopez@harper.com,cus_3adfd65ff2454835,100,2022-11-09 13:53:07.833393+00,2024-04-18 07:06:13.951446+00,14,org_e6a317427ea84599,Mary,Lopez
e81bcc27-773f-4181-be79-aeeac5eb20d4,karen.sandoval@horne.biz,cus_fd9dedeccfc649ef,100,2023-04-07 04:59:57.499262+00,2023-11-05 20:59:43.121039+00,15,org_c2bc273b182940e9,Karen,Sandoval
b541aae1-1c1b-4208-8f6f-0f8ca963ce03,marissa.schneider@williams.com,cus_68ccc2e4110e403f,100,2023-07-04 23:42:34.676265+00,2024-02-06 06:28:37.917483+00,16,org_25fb8215fd4b4229,Marissa,Schneider
124de5a6-d6bd-40af-b309-46fd38e681a9,mary.martinez@williams.com,cus_935378d7131540f0,407,2024-03-20 11:26:52.697815+00,2024-03-21 08:16:49.579431+00,17,org_93b5062ad39b4864,Mary,Martinez
11cd26c7-a52d-42a1-89cf-a75337a4c410,yvonne.taylor@clark.com,cus_fbe542498bfb4c70,100,2023-02-10 18:37:44.076405+00,2023-11-22 11:51:28.426152+00,18,org_457f73de493a4dba,Yvonne,Taylor
cca3e189-65f8-4492-8d75-b0beb9ccb8d1,shawn.jones@harper.com,cus_be740c565b3f4cc8,100,2023-07-16 02:13:05.939556+00,2024-04-14 18:36:54.79763+00,19,org_0d470318de914e93,Shawn,Jones
48358b0e-9c29-4550-ad03-9d0fd633867a,sharon.rush@smith.org,cus_91d94eda551640a9,100,2023-04-29 04:05:59.768711+00,2024-03-25 14:45:05.896505+00,20,org_ffdadfc3196f4dd8,Sharon,Rush
be80531e-4953-4052-9b9d-cddbbfa5158c,elizabeth.ortiz@vega-howard.org,cus_49645c17a3c34d55,100,2022-12-20 15:31:11.303356+00,2023-10-27 22:22:04.119788+00,21,org_134357b72686498d,Elizabeth,Ortiz
6ee8574d-eb2b-4fbc-96cb-c2d0c80d6fe8,mary.martinez@horne.biz,cus_1cc9cd06554a47ed,100,2022-11-14 20:27:29.838986+00,2023-07-29 09:25:29.527775+00,22,org_1339cd4fe57d4508,Mary,Martinez
1e7800b2-b80c-47f4-a872-99acf506601b,william.ramirez@perez-brown.com,cus_508d9ced9abb42d7,100,2024-08-27 01:31:59.70416+00,2024-10-21 10:35:59.196398+00,23,org_b3ab2e13741e4593,William,Ramirez
44727eb0-f65f-42cf-a6a9-200d047273bb,ashley.mccarthy@lynch-miller.com,cus_328bd6a42cfe4856,100,2023-09-12 03:58:56.085446+00,2023-11-25 18:20:20.961219+00,24,org_ea453b72df7b491b,Ashley,Mccarthy
0a1a11c4-3a10-49d7-a4f4-a000191afd85,monica.anderson@smith.org,cus_9ba67c2347de4d37,100,2023-01-05 14:45:42.655595+00,2023-09-18 21:47:20.477163+00,25,org_2ad89c2f6f26457c,Monica,Anderson
3b63f6f5-ee88-483c-972e-636ef0a0398d,rachel.jackson@harper.com,cus_f0764f588cdf4289,100,2023-09-12 03:24:35.907958+00,2024-08-24 03:35:31.87842+00,26,org_4dfadba947a84625,Rachel,Jackson
34007d1e-1171-4ac6-9d48-2fb6fa51468f,elizabeth.banks@walker.com,cus_92b83433bc054904,100,2022-11-08 23:08:43.041517+00,2024-09-15 12:20:38.247136+00,27,org_958550e5c7eb4e56,Elizabeth,Banks
bfedaaae-e731-479d-ad60-2599d6cd6ea8,stephanie.brooks@smith.org,cus_5292e1c378ed4f06,100,2023-02-26 02:48:55.78439+00,2024-09-05 09:40:04.728342+00,28,org_70c3098aacfa4703,Stephanie,Brooks
662de472-5d38-490b-8cb8-0249881265e3,joseph.ford@williams.com,cus_e1c50e1de38d4da3,100,2023-02-22 09:11:20.119694+00,2023-02-28 05:36:41.342719+00,29,org_3d417eb2e7e841e8,Joseph,Ford
e2908983-1bbb-46be-9af2-e5770441b6a4,briana.moreno@smith.org,cus_174eb1159e394a32,100,2024-08-21 01:13:42.271022+00,2024-10-12 14:40:33.081284+00,30,org_fe3aad10f22f4086,Briana,Moreno
d2a79b3a-caaa-4b3e-a381-6cb46767c6d4,cheryl.smith@mason.com,cus_df802e5ae99946e8,100,2024-02-02 04:08:13.948946+00,2024-07-24 22:14:38.344167+00,31,org_1483619f30e649af,Cheryl,Smith
6b461aec-56d7-4883-87a6-b8211381423e,dawn.duran@williams.com,cus_0a6693bf2a9840fd,100,2024-03-22 11:08:27.155162+00,2024-07-19 03:14:45.601664+00,32,org_54d280e1503f4df7,Dawn,Duran
de698566-d945-42cc-8322-ea8bed760423,brian.wallace@mason.com,cus_99e6dd8edcc840f0,100,2023-10-13 13:37:00.443622+00,2024-01-24 23:03:18.201086+00,33,org_055f60517f624971,Brian,Wallace
d1fba6e1-679a-46df-97d9-bad78d83afcf,logan.andrews@harper.com,cus_1c2956cd84b04c8b,100,2024-09-18 12:46:35.411215+00,2024-09-18 22:56:35.558479+00,34,org_669976e21d2842e5,Logan,Andrews
d9671ffc-6b58-417c-a115-97994b4ab15f,matthew.paul@morales-townsend.org,cus_dc61245dd18c4dad,569,2024-02-02 23:16:39.308307+00,2024-04-11 00:53:43.565858+00,35,org_b33694bcc5b749c6,Matthew,Paul
ad581144-f1e9-427d-bf53-524233410256,victoria.randolph@khan.biz,cus_c48ed7afc4504ace,100,2024-08-20 06:00:13.391222+00,2024-10-13 08:03:03.349322+00,36,org_aa2ebaf284f348c1,Victoria,Randolph
d4b86c93-0d5b-4054-a926-dbf298ed0ed8,jonathan.nguyen@perez-brown.com,cus_6467b588d6454d2b,100,2023-10-01 17:05:17.335626+00,2024-04-22 02:59:16.688037+00,37,org_d07e74bbd6dd4951,Jonathan,Nguyen
45e3b2c3-6dd4-43b2-97c9-5b11641db679,james.garcia@morales-townsend.org,cus_15b708a35c9c4013,100,2023-04-24 13:50:13.11746+00,2023-12-06 17:01:31.817678+00,38,org_2265760d47fb46ac,James,Garcia
